Date,Stock,Open,High,Low,Close
2019-10-01,AAPL,56.267502,57.055,56.049999,56.147499
2019-10-02,AAPL,55.764999,55.895,54.482498,54.740002
2019-10-03,AAPL,54.607498,55.240002,53.782501,55.205002
2019-10-04,AAPL,56.41,56.872501,55.9725,56.752499
2019-10-07,AAPL,56.567501,57.482498,56.459999,56.764999
2019-10-08,AAPL,56.455002,57.014999,56.0825,56.099998
2019-10-09,AAPL,56.7575,56.947498,56.41,56.7575
2019-10-10,AAPL,56.982498,57.610001,56.825001,57.522499
2019-10-11,AAPL,58.237499,59.41,58.077499,59.052502
2019-10-14,AAPL,58.724998,59.532501,58.6675,58.967499
2019-10-15,AAPL,58.5337485,59.171251,58.4837495,58.779999
2019-10-16,AAPL,58.342499,58.810001,58.299999,58.592499
2019-10-17,AAPL,58.772499,59.037498,58.380001,58.82
2019-10-18,AAPL,58.647499,59.395,58.572498,59.102501
2019-10-21,AAPL,59.380001,60.247501,59.330002,60.127499
2019-10-22,AAPL,60.290001,60.549999,59.904999,59.990002
2019-10-23,AAPL,60.525002,60.810001,60.305,60.794998
2019-10-24,AAPL,61.127499,61.200001,60.452499,60.895
2019-10-25,AAPL,60.790001,61.682499,60.720001,61.645
2019-10-28,AAPL,61.855,62.3125,61.68,62.262501
2019-10-29,AAPL,62.2425,62.4375,60.642502,60.822498
2019-10-30,AAPL,61.189999,61.325001,60.302502,60.814999
2019-10-31,AAPL,61.810001,62.2925,59.314999,62.189999
2019-11-01,AAPL,62.384998,63.982498,62.290001,63.955002
2019-11-04,AAPL,64.332497,64.462502,63.845001,64.375
2019-11-05,AAPL,64.262497,64.547501,64.080002,64.282501
2019-11-06,AAPL,64.192497,64.372498,63.842499,64.5699995
2019-11-07,AAPL,64.684998,65.087502,64.527496,64.857498
2019-11-08,AAPL,64.672501,65.110001,64.212502,65.035004
2019-11-11,AAPL,64.574997,65.6175,64.57,65.550003
2019-11-12,AAPL,65.387497,65.697502,65.230003,65.489998
2019-11-13,AAPL,65.282501,66.195,65.267502,66.1175
2019-11-14,AAPL,65.9375,66.220001,65.525002,65.660004
2019-11-15,AAPL,65.919998,66.445,65.752502,66.440002
2019-11-18,AAPL,66.449997,66.857498,66.057503,66.775002
2019-11-19,AAPL,66.974998,67.0,66.347504,66.572502
2019-11-20,AAPL,66.385002,66.519997,65.099998,65.797501
2019-11-21,AAPL,65.922501,66.002502,65.294998,65.502502
2019-11-22,AAPL,65.647499,65.794998,65.209999,65.445
2019-11-25,AAPL,65.677498,66.610001,65.629997,66.592499
2019-11-26,AAPL,66.735001,66.790001,65.625,66.072502
2019-11-27,AAPL,66.394997,66.995003,66.327499,66.959999
2019-11-29,AAPL,66.650002,67.0,66.474998,66.8125
2019-12-02,AAPL,66.817497,67.0625,65.862503,66.040001
2019-12-03,AAPL,64.577499,64.8825,64.072502,64.862503
2019-12-04,AAPL,65.267502,65.827499,65.169998,65.434998
2019-12-05,AAPL,65.947502,66.472504,65.682503,66.394997
2019-12-06,AAPL,66.870003,67.75,66.824997,67.677498
2019-12-09,AAPL,67.5,67.699997,66.227501,66.730003
2019-12-10,AAPL,67.150002,67.517502,66.464996,67.120003
2019-12-11,AAPL,67.202499,67.775002,67.125,67.692497
2019-12-12,AAPL,66.945,68.139999,66.830002,68.2399975
2019-12-13,AAPL,67.864998,68.824997,67.732498,68.787498
2019-12-16,AAPL,69.25,70.197502,69.245003,69.964996
2019-12-17,AAPL,69.892502,70.442497,69.699997,70.102501
2019-12-18,AAPL,69.949997,70.474998,69.779999,69.934998
2019-12-19,AAPL,69.875,70.294998,69.737503,70.004997
2019-12-20,AAPL,70.557503,70.662498,69.639999,69.860001
2019-12-23,AAPL,70.1325,71.0625,70.092499,71.0
2019-12-24,AAPL,71.172501,71.222504,70.730003,71.067497
2019-12-26,AAPL,71.205002,72.495003,71.175003,72.477501
2019-12-27,AAPL,72.779999,73.4925,72.029999,72.449997
2019-12-30,AAPL,72.6312485,73.45624900000001,72.204998,72.9312475
2019-12-31,AAPL,72.482498,73.419998,72.379997,73.412498
2020-01-02,AAPL,74.059998,75.150002,73.797501,75.087502
2020-01-03,AAPL,74.287498,75.144997,74.125,74.357498
2020-01-06,AAPL,73.447502,74.989998,73.1875,74.949997
2020-01-07,AAPL,74.959999,75.224998,74.370003,74.597504
2020-01-08,AAPL,74.290001,76.110001,74.290001,75.797501
2020-01-09,AAPL,76.809998,77.607498,76.550003,77.407501
2020-01-10,AAPL,77.650002,78.167503,77.0625,77.582497
2020-01-13,AAPL,77.910004,79.267502,77.787498,79.239998
2020-01-14,AAPL,79.175003,79.392502,78.042503,78.169998
2020-01-15,AAPL,77.962502,78.875,77.387497,77.834999
2020-01-16,AAPL,78.5149995,79.279999,78.0687485,78.75875099999999
2020-01-17,AAPL,79.067497,79.684998,78.75,79.682503
2020-01-21,AAPL,79.297501,79.754997,79.0,79.142502
2020-01-22,AAPL,79.644997,79.997498,79.327499,79.425003
2020-01-23,AAPL,79.480003,79.889999,78.912498,79.807503
2020-01-24,AAPL,80.0625,80.832497,79.379997,79.577499
2020-01-27,AAPL,77.514999,77.942497,76.220001,77.237503
2020-01-28,AAPL,78.150002,79.599998,78.047501,79.422501
2020-01-29,AAPL,81.112503,81.962502,80.345001,81.084999
2020-01-30,AAPL,80.135002,81.022499,79.6875,80.967499
2020-01-31,AAPL,80.232498,80.669998,77.072502,77.377502
2020-02-03,AAPL,76.074997,78.372498,75.555,77.165001
2020-02-04,AAPL,78.827499,79.910004,78.407501,78.76375200000001
2020-02-05,AAPL,80.879997,81.190002,79.737503,80.362503
2020-02-06,AAPL,80.642502,81.305,80.065002,81.302498
2020-02-07,AAPL,80.592499,80.849998,79.5,80.0075
2020-02-10,AAPL,78.544998,80.387497,78.462502,80.387497
2020-02-11,AAPL,80.900002,80.974998,79.677498,79.902496
2020-02-12,AAPL,80.3675,81.805,80.3675,81.800003
2020-02-13,AAPL,81.047501,81.555,80.837502,81.217499
2020-02-14,AAPL,81.184998,81.495003,80.712502,81.237503
2020-02-18,AAPL,78.839996,79.9375,78.652496,79.75
2020-02-19,AAPL,80.0,81.142502,80.0,80.904999
2020-02-20,AAPL,80.657501,81.162498,79.552498,80.074997
2020-02-21,AAPL,79.654999,80.112503,77.625,78.262497
2020-02-24,AAPL,74.315002,76.044998,72.307503,74.544998
2020-02-25,AAPL,75.237503,75.6325,71.532501,72.019997
2020-02-26,AAPL,71.6325,74.470001,71.625,73.162498
2020-02-27,AAPL,70.275002,71.5,68.239998,68.379997
