Date,Stock,Open,High,Low,Close
2019-10-01,GOOG,1219.0,1231.22998,1203.579956,1205.099976
2019-10-02,GOOG,1196.97998,1196.97998,1171.290039,1176.630005
2019-10-03,GOOG,1180.0,1189.060059,1162.430054,1187.829956
2019-10-04,GOOG,1191.890015,1211.439941,1189.170044,1209.0
2019-10-07,GOOG,1204.400024,1218.203979,1203.75,1207.680054
2019-10-08,GOOG,1197.589966,1206.079956,1189.01001,1189.130005
2019-10-09,GOOG,1199.349976,1208.349976,1197.630005,1202.310059
2019-10-10,GOOG,1198.579956,1215.0,1197.339966,1208.670044
2019-10-11,GOOG,1222.209961,1228.390015,1213.73999,1215.449951
2019-10-14,GOOG,1212.339966,1226.329956,1211.76001,1217.140015
2019-10-15,GOOG,1220.400024,1247.329956,1220.400024,1243.01001
2019-10-16,GOOG,1236.9299925,1253.1099855,1230.73999,1244.25
2019-10-17,GOOG,1245.19497675,1256.00000025,1235.909973,1244.869995
2019-10-18,GOOG,1253.459961,1258.890015,1241.079956,1245.48999
2019-10-21,GOOG,1252.26001,1254.629028,1240.599976,1246.150024
2019-10-22,GOOG,1247.849976,1250.599976,1241.380005,1242.800049
2019-10-23,GOOG,1242.359985,1259.890015,1242.359985,1259.130005
2019-10-24,GOOG,1260.900024,1264.0,1253.714966,1260.98999
2019-10-25,GOOG,1251.030029,1269.599976,1250.01001,1265.130005
2019-10-28,GOOG,1275.449951,1299.310059,1272.540039,1290.0
2019-10-29,GOOG,1276.22998,1281.589966,1257.212036,1262.619995
2019-10-30,GOOG,1252.969971,1269.359985,1252.0,1261.290039
2019-10-31,GOOG,1261.280029,1267.670044,1250.843018,1260.109985
2019-11-01,GOOG,1265.0,1274.619995,1260.5,1273.73999
2019-11-04,GOOG,1276.449951,1294.130005,1276.35498,1291.369995
2019-11-05,GOOG,1292.890015,1298.930054,1291.229004,1292.030029
2019-11-06,GOOG,1289.459961,1293.72998,1282.5,1291.800049
2019-11-07,GOOG,1294.280029,1323.73999,1294.244995,1308.859985
2019-11-08,GOOG,1305.280029,1318.0,1304.36499,1311.369995
2019-11-11,GOOG,1303.180054,1306.425049,1297.410034,1299.189941
2019-11-12,GOOG,1298.625,1305.362549,1295.460022,1298.5949705
2019-11-13,GOOG,1294.069946,1304.300049,1293.51001,1298.0
2019-11-14,GOOG,1297.5,1317.0,1295.650024,1311.459961
2019-11-15,GOOG,1318.939941,1334.880005,1314.280029,1334.869995
2019-11-18,GOOG,1332.219971,1335.529053,1317.5,1320.699951
2019-11-19,GOOG,1327.699951,1327.699951,1312.800049,1315.459961
2019-11-20,GOOG,1311.73999,1315.0,1291.150024,1303.050049
2019-11-21,GOOG,1301.47998,1312.589966,1293.0,1301.349976
2019-11-22,GOOG,1305.619995,1308.72998,1291.410034,1295.339966
2019-11-25,GOOG,1299.180054,1311.310059,1298.130005,1306.689941
2019-11-26,GOOG,1309.859985,1314.800049,1305.089966,1313.550049
2019-11-27,GOOG,1315.0,1318.359985,1309.630005,1312.98999
2019-11-29,GOOG,1307.119995,1310.204956,1303.969971,1304.959961
2019-12-02,GOOG,1301.0,1305.829956,1281.0,1289.920044
2019-12-03,GOOG,1279.569946,1298.46106,1279.0,1295.280029
2019-12-04,GOOG,1307.01001,1325.800049,1304.869995,1320.540039
2019-12-05,GOOG,1328.0,1329.358032,1316.439941,1328.130005
2019-12-06,GOOG,1333.439941,1344.0,1333.439941,1340.619995
2019-12-09,GOOG,1338.040039,1359.449951,1337.839966,1343.560059
2019-12-10,GOOG,1341.5,1349.974976,1336.040039,1344.660034
2019-12-11,GOOG,1350.839966,1351.199951,1342.670044,1345.02002
2019-12-12,GOOG,1345.939941,1355.775024,1340.5,1350.27002
2019-12-13,GOOG,1347.949951,1353.093018,1343.869995,1347.829956
2019-12-16,GOOG,1356.5,1364.680054,1352.670044,1361.170044
2019-12-17,GOOG,1362.890015,1365.0,1351.322998,1355.119995
2019-12-18,GOOG,1356.599976,1360.469971,1351.0,1352.619995
2019-12-19,GOOG,1351.819946,1358.099976,1348.984985,1356.040039
2019-12-20,GOOG,1363.349976,1363.640015,1349.0,1349.589966
2019-12-23,GOOG,1355.869995,1359.800049,1346.51001,1348.839966
2019-12-24,GOOG,1348.5,1350.26001,1342.780029,1343.560059
2019-12-26,GOOG,1346.170044,1361.327026,1344.469971,1360.400024
2019-12-27,GOOG,1362.98999,1364.530029,1349.310059,1351.890015
2019-12-30,GOOG,1350.0,1353.0,1334.02002,1336.140015
2019-12-31,GOOG,1330.109985,1338.0,1329.084961,1337.02002
2020-01-02,GOOG,1341.550049,1368.140015,1341.550049,1367.369995
2020-01-03,GOOG,1347.859985,1372.5,1345.543945,1360.660034
2020-01-06,GOOG,1350.0,1396.5,1350.0,1394.209961
2020-01-07,GOOG,1397.939941,1402.98999,1390.380005,1393.339966
2020-01-08,GOOG,1392.079956,1411.579956,1390.839966,1404.319946
2020-01-09,GOOG,1420.569946,1427.329956,1410.27002,1419.829956
2020-01-10,GOOG,1427.560059,1434.928955,1418.349976,1429.72998
2020-01-13,GOOG,1436.130005,1440.52002,1426.02002,1439.22998
2020-01-14,GOOG,1439.01001,1441.800049,1428.369995,1430.880005
2020-01-15,GOOG,1430.209961,1441.39502,1430.209961,1439.199951
2020-01-16,GOOG,1447.439941,1451.98999,1440.920044,1451.699951
2020-01-17,GOOG,1462.910034,1481.295044,1458.219971,1480.390015
2020-01-21,GOOG,1479.119995,1491.849976,1471.199951,1484.400024
2020-01-22,GOOG,1491.0,1503.213989,1484.930054,1485.949951
2020-01-23,GOOG,1487.640015,1495.52002,1482.099976,1486.650024
2020-01-24,GOOG,1493.589966,1495.494995,1465.25,1466.709961
2020-01-27,GOOG,1431.0,1438.069946,1421.199951,1433.900024
2020-01-28,GOOG,1443.0,1456.0,1432.469971,1452.560059
2020-01-29,GOOG,1458.800049,1465.430054,1446.73999,1458.630005
2020-01-30,GOOG,1439.959961,1457.280029,1436.400024,1455.839966
2020-01-31,GOOG,1468.900024,1470.130005,1428.530029,1434.22998
2020-02-03,GOOG,1462.0,1490.0,1458.98999,1485.939941
2020-02-04,GOOG,1457.069946,1469.5,1426.300049,1447.069946
2020-02-05,GOOG,1462.420044,1463.839966,1430.560059,1448.22998
2020-02-06,GOOG,1450.329956,1482.0,1449.569946,1476.22998
2020-02-07,GOOG,1467.300049,1485.839966,1466.349976,1479.22998
